atlasId,cohortId,id,cohortName
29,29,29,Autoimmune condition (FP)
30,30,30,Tuberculosis (FP)
13,13,13,"Myalgia (not including secondary causes) Episodes (3dPe, 30dEra)"
37,37,37,Hepatitis C (FP)
31,31,31,Malignant neoplasm excluding non-melanoma skin cancer (FP)
32,32,32,Obesity (FP)
33,33,33,Dementia (FP)
34,34,34,Hypertension (FP)
35,35,35,Chronic kidney disease (FP)
36,36,36,Human immunodeficiency virus infection (FP)
23,23,23,"Hospitalization episodes (1dPe, 30dEra)"
38,38,38,Heart disease (FP)
39,39,39,End stage renal disease (FP)
40,40,40,Diabetes Mellitus Type 2 (FP)
41,41,41,Chronic kidney disease broad (FP)
24,24,24,"Emergency room visit Events (0dPe, 0dEra)"
25,25,25,All cause mortality
42,42,42,End stage renal disease broad (FP)
43,43,43,Tuberculosis broad (FP)
28,28,28,Chronic obstructive pulmonary disease (COPD) without asthma (FP)
14,14,14,"Myalgia Episodes (3dPe, 30dEra)"
10,10,10,"Nausea or Vomiting Episodes (3dPe, 30dEra)"
9,9,9,"Sore throat Episodes (7dPe, 30dEra)"
7,7,7,"Headache, Migraine, Neurologic pain Episodes (7dPe, 30dEra)"
8,8,8,"Anosmia OR Hyposmia OR Dysgeusia Episodes (3dPe, 30dEra)"
6,6,6,"Fever Episodes (3dPe, 30dEra)"
4,4,4,"Diarrhea Episodes (7dPe, 30dEra)"
3,3,3,"Cough Episodes (3dP, 30dEra)"
11,11,11,"Malaise or fatigue episodes (3dP, 30dEra)"
12,12,12,"Rhinitis Episodes (7dP, 30dEra)"
15,15,15,"Exposure to Viral Disease Episodes (7dPe, 30dEra)"
17,17,17,"Exposure to SARS-Cov 2 Episodes (7dPe, 30dEra)"
16,16,16,"Exposure to SARS-Cov 2 and coronavirus Episodes (7dPe, 30dEra)"
19,19,19,"Pneumonia Episodes (14dPe, 30dEra)"
5,5,5,"Dyspnea Episodes (14dPe, 30dEra)"
18,18,18,"Multiple Inflammatory Syndrome Episodes (30dPe, 30dEra)"
20,20,20,"Bronchitis Episodes (14dPe, 30dEra)"
21,21,21,"Acute respiratory distress syndrome (ARDS) or Acute Respiratory Failure Episodes (3dPe, 30dEra)"
53,53,53,"COVID-19 diagnosis and SARS-CoV-2 test (1pos, 1neg) within 3d (3Ps, 7Era)"
52,52,52,SARS-CoV-2 test negative result - events
51,51,51,SARS-CoV-2 test positive result - events
48,48,48,"COVID-19 diagnosis and SARS-CoV-2 test (0pos, 1neg) within 3d (3Ps, 7Era)"
50,50,50,"COVID-19 diagnosis and SARS-CoV-2 test (1neg) within 3d (3Ps, 7Era)"
44,44,44,"COVID-19 diagnosis all events (3Ps, 7Era)"
45,45,45,"COVID-19 diagnosis and SARS-CoV-2 test (irrespective of results) within 3d (3Ps, 7Era)"
22,22,22,SARS-CoV-2 testing Events
2,2,2,"COVID-19 diagnosis or SARS-CoV-2 test (1pos) within 3d (3Ps, 7Era) - first occurrence"
26,26,26,Asthma or Chronic obstructive pulmonary disease (COPD) (FP)
55,55,55,"COVID-19 diagnosis or SARS-CoV-2 test (1pos) Episodes (3Ps, 7Era)"
46,46,46,"COVID-19 diagnosis and SARS-CoV-2 test (1pos) within 3d (3Ps, 7Era)"
54,54,54,SARS-CoV-2 tested Events - first occurrence
49,49,49,"COVID-19 diagnosis and SARS-CoV-2 test (1pos, 0neg) within 3d (3Ps, 7Era)"
47,47,47,"COVID-19 diagnosis and SARS-CoV-2 test (0pos) within 3d (3Ps, 7Era)"
27,27,27,Asthma without COPD (FP)
56,56,56,"SARS-CoV-2 test (1pos) or COVID-19 diagnosis with 0neg 1pos or no test 3d (3Ps, 7Era)"
